Назва поля,Зміст,Коментар
**DECLAR**, ,Початок документу
**DECLARHEAD**, ,Завершення основного блоку
TIN,Код платника,"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
C_DOC,Код документа,"J12 – податкова накладна (юр. особа)
F12 – податкова накладна (фіз. особа)"
C_DOC_SUB,Підтип документа,Відповідає значенню елемента C_DOC_SUB з довідника звітних документів
C_DOC_VER,Номер версії,Відповідає значенню елемента C_DOC_VER з довідника звітних документів
C_DOC_TYPE,№ нового звітного документа,"Для першого поданого (звітного) документа в періоді значення даного елемента дорівнює 0, кожний наступний новий звітний (уточнюючий) документ цього ж типу для даного звітного періоду має значення цього елемента, збільшеного на одиницю "
C_DOC_CNT,№ однотипного документа в періоді,"Якщо в одному звітному періоді подається кілька однотипних документів, то значення даного елемента містить порядковий номер для кожного документа в даному періоді. Перший (звітний) документ має номер 1. При формуванні електронного документа, що є новим звітним (уточнюючим) до поданого раніше (звітного) (значення елемента C_DOC_TYPE 0), нумерація однотипних документів в періоді (значення елемента C_DOC_CNT) повинна залишатись незмінною щодо нумерації звітного документа, показники якого виправляються"
C_REG,Код області ДПІ отримувача,Код області заповнюється згідно з довідником державних податкових інспекцій
C_RAJ,Код адміністративного району ДПІ отримувача,Код адміністративного району заповнюється згідно з довідником державних податкових інспекцій
PERIOD_MONTH,Звітній місяць,"Звітним місяцем вважається останній місяць у звітному періоді (для місяців - це порядковий номер місяця, для I, II, III, IV кварталів - це 3, 6, 9, 12 місяць відповідно, для I та II півріч - 6 та 12 відповідно, для 9 місяців - 9, для року - 12)"
PERIOD_TYPE,Тип звітного періоду,"1-місяць, 2-квартал, 3-півріччя, 4 - дев'ять місяців, 5-рік"
PERIOD_YEAR,Звітний рік,Формат рррр
C_STI_ORIG,"Код ДПІ, до якої подається оригінал документа","Код ДПІ вибирається з довідника інспекцій, є числовим значенням, яке відповідає формулі: значення елемента C_REG*100 + значення елемента C_RAJ"
C_DOC_STAN,Стан документа,Приймає фіксовані значення: 1 - звітний документ; 2 - новий звітний документ;3 - уточнюючий документ
LINKED_DOCS,"Перелік пов’язаних документів. Даний елемент є вузловим і складається з ряду елементів з іменем DOC, кожний з яких містить інформацію про окремий","Містить відповідний  перелік документів:
для основного документа – посилання на додатки, які подаються до нього;
для додатка – посилання на основний документ;
для квитанції – на документ, що квитується.
Елемент DOC має обов’язкові атрибути :
NUM - Номер пов’язаного документа в переліку
TYPE - Тип зв’язку. Даний атрибут приймає фіксовані значення :
1 – посилання на додаток,
2 – посилання на основний документ,
3 – посилання на документ, що квитувався"
D_FILL,Формат ддммрррр,Дата заповнення документа платником
SOFTWARE,Сигнатура програмного забезпечення,"Текстовий рядок - ідентифікатор програмного засобу, за допомогою якого сформовано документ"
**DECLARHEAD**, ,Завершення основного блоку
**DECLARBODY**, ,Початок змістового блоку 
R01G1,Зведена податкова накладна,"1 – так, 0 – ні"
R03G10S,"Складена на операції, звільнені від оподаткування","Ставиться помітка ""Без ПДВ"" у разі складання податкової накладної на операції з постачання товарів/послуг, які звільняються від оподаткування (п. 17 Порядку № 1307)"
HORIG1,Позначка «Видається покупцю»,"1 – так, 0 – ні"
