Назва поля,Тип,Формат,Опис
**ЕлектроннийДокумент**,,,Початок документу
**Заголовок**,,Кількість входжень вузла: Min = 1; Max = 1,Заголовок (початок блоку)
НомерДокументу,,Рядок (16),Номер документу
ТипДокументу,,Рядок (50),Акт невідповідності
КодТипуДокументу,,«009»,009
ДатаДокументу,,Дата (РРРР-ММ-ДД),Дата складання документу
НомерЗамовлення,,Рядок (20),Номер замовлення за документом
ДатаЗамовлення,,Дата (РРРР-ММ-ДД),Дата здійснення замовлення
МісцеСкладання,,,Місце складання документу
**Заголовок**,,,Заголовок (завершення блоку)
**Сторони**,,Мількість входжень вузла: Min = 1; Max = 1,"Сторони, між якими укладено документ (початок блоку)"
**Контрагент**,,Кількість входжень вузла: Min = 2; Max = 10,"Контрагент (початок блоку). Першим вказується блок відправника, другим – отримувача"
СтатусКонтрагента,М,Рядок (30),"Допустимі значення:
Покупець;
Отримувач; 
Продавець; 
Замовник; 
Виконавець;
Перевізник;
Платник;
Підрядник;
Відправник;
Вантажоодержувач;
Вантажовідправник;
Експедитор;
Клієнт;
Консультант"
ВидОсоби,,Рядок (20),Допустимі значення: Юридична Фізична
НазваКонтрагента,,Рядок (50),Назва контрагента
КодКонтрагента,,Рядок (8),"Значенням елемента є код платника згідно з ЄДРПОУ (Реєстраційний (обліковий) номер з Тимчасового реєстру ДПА України) або реєстраційний номер облікової картки платника (номер паспорта, записаний як послідовність двох великих літер української абетки та шести цифр)"
ІПН,,Рядок (12),Індивідуальний податковий номер контрагента
GLN,,Integer (13),Глобальний номер розташування (GLN) контрагента
**Контрагент**,,,Контрагент (завершення блоку)
**Сторони**,,,"Сторони, між якими укладено документ (завершення блоку)"
Параметри,,,"Параметри (початок блоку). Тег передбачає довільне значення; використовується для передачі додаткової інформації, що не входить до специфікації"
Параметр,,Рядок (50),Максимальна кількість тегів – 99. У кожного наступного тега ідентифікатор (ІД) збільшується на одиницю.
**Таблиця**,,Кількітьходженьвузла: Min = 0; Max = 1,Таблиця (початок блоку)
**Рядок**,,Кількість входжень вузла: Min = 1;Max = 9999,Рядок (початок блоку). У кожного наступного блоку ідентифікатор (ІД) збільшується на одиницю
НомПоз,,Integer (3),Номер позиції
АртикулПокупця,,Рядок (10),Артикул покупця
Найменування,,Рядок (50),Найменування товарної позиції
ЗаявленаКількість,,Decimal (#.00),Заявлена кількість товарних позицій
ПрийнятаКількість,,Decimal (#.00),Прийнята кількість товарних позицій
ОдиницяВиміру,,Рядок (10),Одиниці виміру: шт. – штука; уп. – упаковка; л. – літр; послуга; кг. – кілограм; г. – грам...
БазоваЦіна,,Decimal (#.00),Ціна за одиницю без ПДВ
Текст,,Рядок (100),Додаткова інформація
**Рядок**,,,Рядок (завершення блоку)
**Таблиця**,,,Таблиця (завершення блоку)
**ЕлектроннийДокумент**,,,Завершення документу
